memo_id,borrower_name,approval_date,completeness,accuracy,credit_reasoning,risk_identification,recommendation_quality,explainability,total,notes
1,Title2Land LLC,2020-12-05,5,5,4,4,5,5,28,Strong all round. LLM correctly identified real estate cyclicality and Baton Rouge regional exposure. Recommendation well evidenced. Repayment capacity correctly flagged as limited by absent income data.
2,Perfect Game Incorporated,2020-12-05,5,5,5,4,5,5,29,Excellent. LLM correctly interpreted paid-in-full status as repayment evidence despite high-risk fitness industry during COVID. Strong analytical reasoning throughout.
3,Center of New England Primary Care Inc (Loan 1),2020-12-05,5,5,4,4,5,5,28,Solid. Healthcare defensive characteristics correctly identified. Large loan amount flagged as risk. Repayment capacity section honest about missing income data.
4,Just In Time Refrigeration LLC,2020-12-05,5,5,5,4,5,5,29,Strong. Early payoff correctly interpreted as exceptional repayment signal. High HVAC industry risk contextualised against actual performance. Recommendation well justified.
5,Mills True Value Hardware,2020-12-05,5,5,4,4,5,5,28,Good. 85% guarantee correctly calculated and highlighted. Big-box competition risk correctly identified. Minor gap: limited depth on repayment capacity given absence of income data.
6,Hyde and Associates LLC (Loan 1),2020-12-05,5,5,4,3,4,5,26,Competent. CPA sector stability well articulated. Risk identification thin — seasonal cash flow flagged but insufficient analysis of $1M+ loan size for a small firm. Recommendation sound.
7,Hyde and Associates LLC (Loan 2),2020-12-05,5,5,4,4,5,5,28,Good handling of cancelled status. Correctly recommended Decline given absent financial data. Express programme 50% guarantee limitation correctly noted and distinguished from standard loans.
8,LS Hospitality Inc,2020-12-05,5,5,5,5,5,5,30,Best memo in the set. Charged-off loan correctly drove Decline. COVID vulnerability of employment placement sector identified. Micro-business risk and 50% guarantee limitation both flagged. Fully evidenced.
9,Center of New England Primary Care Inc (Loan 2),2020-12-05,5,5,4,4,5,5,28,Consistent with Loan 1 for same borrower. Correctly handled larger loan amount ($1.8M). PURCH(NOT C/O) status correctly interpreted as performing. Low industry risk appropriately applied.
10,Disaster Restoration Specialist,2020-12-05,5,5,4,4,5,5,28,Good domain reasoning. Counter-cyclical nature of disaster restoration correctly identified. Florida hurricane exposure flagged as both risk and business driver. Construction high-risk tier correctly applied.
11,J&J Industrial Graphics LLC (Loan 1),2020-12-06,5,5,4,4,4,5,27,Competent. Secular decline in commercial printing correctly identified as structural risk. Approve with Conditions appropriate given industry headwinds. Monitoring condition well specified.
12,Firehouse Subs,2020-12-06,5,5,5,4,5,5,29,Strong. Franchise model mitigant correctly identified and well argued. High-risk restaurant sector during COVID contextualised against paid-in-full outcome. Recommendation fully justified.
13,QSR of Ohio LLC (Subway),2020-12-06,5,5,4,4,4,5,27,Good. Subway franchise correctly identified. High restaurant risk well handled. Approve with Conditions appropriate given loan size and sector risk. Conditions could have been more specific.
14,Fall Forward Fitness and Wellness Center,2020-12-06,5,5,5,5,5,5,30,Excellent. Cancelled status correctly drove Decline. COVID timing and fitness industry disruption correctly linked. LLM appropriately flagged inability to assess current viability. Fully reasoned.
15,J&J Industrial Graphics LLC (Loan 2),2020-12-06,5,5,4,3,5,5,27,Good handling of SBA Express 50% vs standard 75% guarantee. Early payoff correctly interpreted as strong credit signal. Risk identification slightly thin on structural printing sector decline.
16,Richmond Lodging Associates LLP,2020-12-06,5,5,5,5,5,5,30,Strong Decline on cancelled hotel loan. 90% guarantee correctly calculated. Hospitality COVID impact identified as primary risk. LLM correctly flagged inability to verify current viability.
17,Pit Stop Oil Change Inc,2020-12-07,5,5,4,4,5,5,28,Solid. Automotive services stability correctly identified. EV disruption risk appropriately flagged as medium-term concern. Long-term structure and current payment status well used as mitigants.
18,PRA Inc Pharmacy,2020-12-07,5,5,4,4,5,5,28,Good. Independent pharmacy structural challenges correctly identified. Cancelled status correctly drove Decline. High industry risk tier for pharmacy correctly applied.
19,Premium 72 Capital LLC,2020-12-07,5,5,4,4,5,5,28,Competent. Investment advisory low-risk classification correctly applied. $835k loan size flagged as exposure risk. Repayment capacity correctly tied to AUM-based fee structure.
20,Regal Credit Consulting Corp,2020-12-07,5,5,4,4,5,5,28,Good. Paid-in-full status correctly used as primary repayment signal. Broad NAICS 541990 category honestly flagged as limiting factor for industry analysis. 50% Express guarantee limitation noted.
